
ICA_Basis,0.025295
Q,DCT_ent,PSNR,SSIM,MS-SSIM,Area,,ICA_ent,PSNR,SSIM,MS-SSIM,Area,,Basis
80,2.330298,33.615789,0.951507,,1017,,2.280609,33.616750,0.951487,,7,,99,99,99
70,1.998932,31.698204,0.930155,,1008,,1.960324,31.701300,0.930132,,16,,99,99,99
60,1.777586,30.315314,0.909780,,1003,,1.749319,30.322295,0.909770,,21,,4,22,51
50,1.570299,29.289903,0.890474,,991,,1.535501,29.307139,0.890605,,33,,16,36,58
40,1.355317,28.243827,0.865904,,982,,1.322053,28.279500,0.866345,,42,,8,22,41
30,1.112034,26.912395,0.828565,,961,,1.085643,26.977637,0.829644,,63,,8,22,53
