



,,,[80],,,[70],,,[60],,,[50],,,[40],,,[30]

,[0],,99,99,,99,99,,0,0,,0,0,,0,0,,0,0

,[1],,1,1,,99,99,,99,99,,0,0,,99,99,,0,0

,[2],,1,1,,0,0,,0,0,,0,0,,0,0,,0,0

,[3],,2,2,,0,1,,0,1,,0,0,,0,0,,0,0

,[4],,99,99,,99,99,,0,0,,0,0,,0,0,,0,0

,[5],,2,3,,1,1,,99,99,,0,0,,99,99,,0,0

,[6],,3,3,,0,0,,0,0,,0,0,,0,0,,0,0

,[7],,2,4,,1,2,,1,1,,0,0,,0,0,,0,0

,[8],,2,4,,1,1,,0,1,,0,1,,0,0,,0,0

,[9],,99,99,,99,99,,99,99,,0,0,,0,0,,0,0

,[10],,0,1,,0,0,,99,99,,0,0,,0,0,,0,0

,[11],,99,99,,0,0,,0,0,,0,0,,0,0,,99,99

,[12],,2,2,,1,2,,0,0,,0,0,,0,0,,0,0

,[13],,2,2,,1,1,,99,99,,0,0,,0,0,,0,0

,[14],,2,2,,99,99,,99,99,,0,0,,0,0,,0,0

,[15],,99,99,,99,99,,0,1,,1,1,,0,0,,0,0

,[16],,99,99,,99,99,,1,1,,1,1,,99,99,,0,0

,[17],,99,99,,0,1,,1,1,,0,0,,0,0,,0,0

,[18],,99,99,,1,2,,1,1,,1,1,,0,0,,99,99

,[19],,99,99,,1,1,,1,1,,0,0,,0,0,,0,0

,[20],,2,2,,1,1,,99,99,,99,99,,99,99,,0,0

,[21],,99,99,,0,0,,99,99,,0,0,,0,0,,99,99

,[22],,1,1,,1,1,,0,1,,0,0,,0,0,,0,0

,[23],,0,0,,0,0,,0,0,,0,0,,0,0,,0,0

,[24],,1,2,,99,99,,99,99,,0,0,,99,99,,0,0

,[25],,1,1,,0,0,,0,0,,0,0,,0,0,,0,0

,[26],,99,99,,99,99,,1,1,,1,1,,0,1,,0,0

,[27],,99,99,,0,0,,99,99,,0,0,,0,0,,0,0

,[28],,1,2,,1,1,,1,1,,99,99,,99,99,,0,0

,[29],,2,2,,1,1,,0,0,,0,0,,0,0,,99,99

,[30],,1,1,,0,1,,1,1,,0,0,,0,0,,0,0

,[31],,2,2,,1,2,,1,1,,99,99,,0,1,,99,99

,[32],,0,1,,99,99,,0,0,,0,0,,0,0,,0,0

,[33],,0,1,,0,0,,0,0,,0,0,,0,0,,0,0

,[34],,99,99,,1,2,,99,99,,0,0,,0,0,,0,0

,[35],,99,99,,99,99,,1,1,,0,1,,1,1,,0,0

,[36],,2,3,,0,1,,0,0,,0,0,,0,0,,0,0

,[37],,1,2,,0,1,,0,0,,0,0,,0,0,,0,0

,[38],,1,2,,0,0,,0,0,,0,0,,0,0,,0,0

,[39],,99,99,,99,99,,1,1,,0,0,,99,99,,99,99

,[40],,2,3,,0,0,,0,0,,0,0,,0,0,,0,0

,[41],,1,1,,0,0,,99,99,,99,99,,0,0,,99,99

,[42],,3,3,,99,99,,99,99,,99,99,,99,99,,0,0

,[43],,1,1,,0,0,,0,0,,0,0,,0,0,,0,0

,[44],,2,2,,1,1,,0,0,,0,0,,0,0,,0,0

,[45],,0,1,,0,0,,99,99,,0,0,,0,0,,0,0

,[46],,1,2,,0,0,,0,0,,0,0,,0,0,,0,0

,[47],,1,2,,0,0,,99,99,,0,0,,0,0,,0,0

,[48],,2,2,,0,1,,0,0,,0,0,,0,0,,0,0

,[49],,3,3,,99,99,,99,99,,0,0,,0,0,,0,0

,[50],,99,99,,99,99,,0,0,,0,0,,0,0,,0,0

,[51],,99,99,,99,99,,1,1,,0,1,,0,0,,0,0

,[52],,2,2,,1,1,,0,1,,0,0,,0,0,,0,0

,[53],,99,99,,99,99,,0,1,,1,1,,0,0,,0,0

,[54],,2,2,,1,2,,99,99,,1,1,,0,0,,99,99

,[55],,2,3,,0,1,,0,0,,0,0,,0,0,,0,0

,[56],,99,99,,0,1,,0,0,,0,0,,0,0,,0,0

,[57],,99,99,,0,0,,99,99,,0,0,,0,0,,99,99

,[58],,99,99,,0,0,,0,0,,0,0,,0,0,,0,0

,[59],,1,3,,1,2,,99,99,,0,0,,0,0,,0,0

,[60],,1,2,,0,1,,0,0,,0,0,,0,0,,0,0

,[61],,2,3,,0,0,,0,0,,0,0,,0,0,,99,99

,[62],,0,0,,0,0,,0,0,,0,0,,0,0,,0,0

,[63],,3,3,,99,99,,99,99,,0,0,,0,0,,0,0

,[64],,99,99,,99,99,,1,1,,0,0,,99,99,,0,0

,[65],,1,1,,0,1,,0,0,,0,0,,0,0,,0,0

,[66],,99,99,,99,99,,0,0,,0,0,,0,0,,0,0

,[67],,2,3,,2,2,,1,1,,0,0,,99,99,,0,0

,[68],,1,1,,0,1,,0,0,,0,0,,0,0,,0,0

,[69],,1,1,,0,1,,0,0,,0,0,,0,0,,0,0

,[70],,2,2,,0,1,,0,0,,0,0,,0,0,,99,99

