



,,[1],[2],[3],[4]
,[356],56,25,42,23
,[357],4,28,42,2
,[359],14,46,53,2
,[384],62,25,8,24
,[389],46,21,56,26
,[390],35,32,40,44
,[391],61,6,9,29
,[407],27,39,14,61
,[421],62,42,25,8
,[422],39,5,43,61
,[438],40,6,4,62
,[440],50,62,36,25
,[450],8,3,19,40
,[456],53,35,1,25
,[457],30,17,62,13
,[463],45,61,37,16
,[464],44,4,10,48
,[465],24,11,57,13
,[466],20,53,11,22
,[467],13,48,0,62
,[468],2,55,49,18
,[483],59,19,48,40
,[506],39,46,24,62
,[549],2,56,8,29
,[550],17,52,25,49
,[554],27,8,38,13
,[576],31,8,39,22
,[577],23,6,34,51
,[579],30,25,16,62
,[593],54,59,63,36
,[608],1,63,44,14
,[609],32,42,43,41
,[617],25,31,6,52
,[618],50,10,26,6
,[623],6,63,57,25
,[624],3,44,36,17
,[625],31,30,12,17
,[626],19,23,7,37
,[627],34,14,37,39
,[629],3,46,57,50
,[640],51,5,32,24
,[641],27,40,3,54
,[645],58,23,36,62
,[646],53,38,31,63
,[650],4,48,16,29
,[651],26,8,35,32
,[653],5,50,11,39
,[662],44,25,61,36
,[680],60,51,48,1
,[681],26,6,53,42
,[683],38,31,8,20
,[686],59,57,44,53
,[688],35,19,16,3
,[690],34,62,50,32
,[694],23,60,37,26
,[695],58,11,28,38
,[719],15,32,33,47
,[741],8,39,61,0
,[756],6,16,51,8
,[757],6,21,41,20
,[758],25,17,4,50
,[785],51,45,26,57
,[790],55,34,51,33
,[791],31,10,49,25
,[792],42,43,2,0
,[810],46,0,1,49
,[818],26,61,51,2
,[820],46,31,23,4
,[822],28,16,55,54
,[825],11,23,52,43
,[857],60,8,10,50
,[879],17,51,4,44
,[886],19,62,44,28
,[910],27,50,38,28
,[925],51,7,61,19


,,[356],[357],[359],[384],[389],[390],[391],[407],[421],[422],[438],[440],[450],[456],[457],[463],[464],[465],[466],[467],[468],[483],[506],[549],[550],[554],[576],[577],[579],[593],[608],[609],[617],[618],[623],[624],[625],[626],[627],[629],[640],[641],[645],[646],[650],[651],[653],[662],[680],[681],[683],[686],[688],[690],[694],[695],[719],[741],[756],[757],[758],[785],[790],[791],[792],[810],[818],[820],[822],[825],[857],[879],[886],[910],[925]
,[356],1.000,0.250,0.000,0.250,0.250,0.000,0.000,0.000,0.500,0.000,0.000,0.250,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.250,0.000,0.000,0.250,0.250,0.000,0.000,0.250,0.250,0.000,0.250,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.250,0.000,0.250,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0.250,0.250,0.000,0.000,0.250,0.000,0.250,0.000,0.000,0.000,0.000,0.000,[356],[0.093],51/75
,[357],0.250,1.000,0.250,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.250,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.500,0.000,0.250,0.250,0.250,0.000,0.000,0.250,0.250,0.250,0.000,[357],[0.080],55/75
,[359],0.000,0.250,1.000,0.000,0.250,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.250,0.000,0.250,0.000,0.250,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.250,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.250,0.250,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,[359],[0.073],56/75
,[384],0.250,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.750,0.000,0.250,0.500,0.250,0.250,0.250,0.000,0.000,0.250,0.000,0.250,0.000,0.000,0.500,0.250,0.250,0.250,0.250,0.000,0.500,0.000,0.000,0.000,0.250,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.250,0.000,0.000,0.250,0.000,0.250,0.000,0.000,0.250,0.000,0.000,0.250,0.000,0.000,0.000,0.250,0.250,0.000,0.250,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.250,0.000,0.000,[384],[0.127],45/75
,[389],0.250,0.000,0.250,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.250,0.000,0.250,0.000,0.000,0.000,0.250,0.250,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,[389],[0.060],60/75
