



,,[1],[2],[3],[4],[5],,[6],[7],[8],[9],[10]
,[357],4,28,42,2,14,,19,23,26,44,22
,[358],59,42,24,60,63,,39,41,62,1,52
,[359],14,46,53,2,30,,28,11,59,6,20
,[389],46,21,56,26,13,,20,36,4,17,34
,[390],35,32,40,44,15,,1,25,27,29,17
,[391],61,6,9,29,17,,20,57,22,23,46
,[421],62,42,25,8,4,,20,2,0,17,47
,[422],39,5,43,61,41,,22,31,42,26,8
,[428],39,29,34,40,50,,31,16,7,48,55
,[437],27,43,32,40,28,,46,56,25,2,6
,[438],40,6,4,62,28,,63,16,17,37,0
,[439],1,34,44,8,39,,7,49,50,0,60
,[440],50,62,36,25,4,,5,18,60,38,9
,[453],48,7,2,9,63,,46,16,10,34,59
,[456],53,35,1,25,59,,30,44,49,45,33
,[457],30,17,62,13,56,,23,15,1,0,53
,[463],45,61,37,16,30,,56,1,9,4,11
,[464],44,4,10,48,33,,9,29,40,60,42
,[465],24,11,57,13,58,,63,22,26,12,30
,[466],20,53,11,22,12,,3,4,57,25,1
,[467],13,48,0,62,32,,44,2,15,36,49
,[468],2,55,49,18,50,,34,44,0,35,39
,[475],27,39,59,46,35,,56,62,31,48,5
,[476],55,4,7,35,6,,26,15,59,13,31
,[483],59,19,48,40,56,,1,3,11,55,42
,[485],28,34,31,4,17,,3,56,33,19,50
,[512],28,3,51,17,41,,19,49,55,45,32
,[515],43,14,31,21,28,,33,37,17,63,60
,[544],62,23,5,7,28,,31,39,15,56,51
,[545],25,54,51,28,55,,5,9,19,15,18
,[549],2,56,8,29,3,,24,20,6,58,46
,[550],17,52,25,49,10,,54,30,6,23,24
,[551],37,50,21,59,35,,11,19,0,48,42
,[554],27,8,38,13,23,,40,16,9,33,42
,[565],31,29,8,13,21,,18,63,32,17,26
,[576],31,8,39,22,0,,42,51,11,16,1
,[579],30,25,16,62,8,,39,3,26,32,12
,[582],17,23,32,43,36,,35,3,28,48,14
,[592],48,32,29,54,16,,20,17,15,53,41
,[593],54,59,63,36,0,,13,55,52,9,44
,[608],1,63,44,14,39,,4,11,20,15,30
,[609],32,42,43,41,54,,37,1,19,17,4
,[615],6,38,31,34,39,,11,55,30,28,20
,[617],25,31,6,52,46,,35,12,41,27,24
,[618],50,10,26,6,40,,42,58,5,17,41
,[619],22,63,40,61,11,,27,23,41,24,4
,[623],6,63,57,25,5,,59,54,34,58,29
,[626],19,23,7,37,30,,56,36,6,5,39
,[627],34,14,37,39,23,,20,50,18,35,53
,[629],3,46,57,50,26,,13,16,23,39,20
,[640],51,5,32,24,39,,18,7,54,42,50
,[641],27,40,3,54,60,,35,44,36,4,62
,[646],53,38,31,63,34,,25,46,60,7,39
,[647],20,53,11,56,19,,45,42,7,22,62
,[649],25,28,20,34,58,,39,10,16,1,43
,[650],4,48,16,29,8,,31,10,46,45,13
,[658],15,6,59,18,37,,17,26,23,39,35
,[662],44,25,61,36,62,,20,58,39,30,5
,[678],48,11,16,51,29,,20,2,30,28,39
,[680],60,51,48,1,58,,3,49,2,55,8
,[681],26,6,53,42,48,,44,51,7,23,55
,[683],38,31,8,20,37,,56,57,60,55,36
,[693],34,25,39,22,46,,57,62,30,56,9
,[694],23,60,37,26,6,,3,5,45,21,4
,[695],58,11,28,38,36,,57,29,44,48,16
,[716],41,54,12,62,4,,19,30,39,26,16
,[725],33,22,14,13,1,,32,60,39,51,23
,[748],63,62,11,28,2,,51,40,9,46,57
,[756],6,16,51,8,3,,50,10,47,62,52
,[758],25,17,4,50,49,,44,46,42,3,34
,[787],14,2,44,0,57,,43,53,46,16,12
,[792],42,43,2,0,28,,12,17,52,51,44
,[818],26,61,51,2,22,,27,0,28,10,54
,[822],28,16,55,54,44,,30,3,5,29,50
,[910],27,50,38,28,21,,42,33,47,2,52


,,[357],[358],[359],[389],[390],[391],[421],[422],[428],[437],[438],[439],[440],[453],[456],[457],[463],[464],[465],[466],[467],[468],[475],[476],[483],[485],[512],[515],[544],[545],[549],[550],[551],[554],[565],[576],[579],[582],[592],[593],[608],[609],[615],[617],[618],[619],[623],[626],[627],[629],[640],[641],[646],[647],[649],[650],[658],[662],[678],[680],[681],[683],[693],[694],[695],[716],[725],[748],[756],[758],[787],[792],[818],[822],[910]
,[357],1.000,0.100,0.300,0.200,0.100,0.200,0.300,0.300,0.000,0.200,0.200,0.100,0.100,0.100,0.100,0.100,0.100,0.300,0.200,0.200,0.200,0.200,0.000,0.200,0.200,0.300,0.200,0.200,0.200,0.200,0.100,0.100,0.200,0.200,0.100,0.200,0.100,0.300,0.000,0.100,0.300,0.300,0.100,0.000,0.200,0.300,0.000,0.200,0.200,0.200,0.100,0.200,0.000,0.300,0.100,0.100,0.200,0.100,0.200,0.100,0.400,0.000,0.100,0.300,0.200,0.300,0.300,0.200,0.000,0.300,0.300,0.400,0.400,0.200,0.300,,[0.192],8/75
,[358],0.100,1.000,0.100,0.000,0.100,0.000,0.200,0.300,0.100,0.000,0.200,0.300,0.200,0.200,0.200,0.200,0.100,0.200,0.200,0.100,0.100,0.100,0.300,0.100,0.300,0.000,0.100,0.200,0.200,0.000,0.100,0.200,0.200,0.100,0.100,0.300,0.200,0.000,0.100,0.300,0.300,0.300,0.100,0.300,0.200,0.300,0.200,0.100,0.100,0.100,0.300,0.200,0.300,0.200,0.200,0.000,0.200,0.200,0.100,0.200,0.100,0.100,0.200,0.100,0.000,0.300,0.300,0.200,0.200,0.100,0.000,0.200,0.000,0.000,0.200,,[0.169],11/75
,[359],0.300,0.100,1.000,0.200,0.000,0.300,0.200,0.000,0.000,0.400,0.200,0.000,0.000,0.300,0.300,0.200,0.200,0.000,0.200,0.300,0.100,0.100,0.200,0.200,0.200,0.100,0.100,0.200,0.100,0.100,0.400,0.200,0.200,0.000,0.000,0.100,0.100,0.200,0.200,0.100,0.400,0.000,0.500,0.200,0.100,0.100,0.200,0.200,0.300,0.200,0.000,0.000,0.200,0.300,0.200,0.100,0.200,0.200,0.500,0.100,0.200,0.100,0.200,0.100,0.200,0.100,0.100,0.400,0.100,0.100,0.400,0.200,0.200,0.200,0.200,,[0.185],11/75
,[389],0.200,0.000,0.200,1.000,0.100,0.300,0.300,0.100,0.100,0.200,0.200,0.100,0.200,0.200,0.000,0.300,0.200,0.100,0.200,0.200,0.200,0.100,0.200,0.300,0.100,0.400,0.100,0.200,0.100,0.000,0.300,0.100,0.100,0.100,0.400,0.000,0.100,0.200,0.200,0.200,0.200,0.200,0.200,0.100,0.200,0.100,0.100,0.200,0.200,0.400,0.000,0.200,0.200,0.200,0.200,0.300,0.200,0.200,0.100,0.000,0.100,0.300,0.300,0.300,0.100,0.200,0.100,0.100,0.000,0.400,0.100,0.100,0.100,0.000,0.100,,[0.179],8/75
