



100,basis,psnr_ave,ent_ave,area_num
,46,1.036160,0.000051,1
,49,0.408741,0.000411,1
,50,0.448070,0.000331,1
,51,2.644591,0.000333,1
,54,0.695012,0.000024,1
,56,0.964951,0.000509,2
,58,0.709674,-0.000097,3
,59,0.017380,0.000060,1
,61,5.344133,0.000764,3
,62,0.320291,-0.000042,1



10,basis,psnr_ave,ent_ave,area_num
,0,0.675636,-0.000040,1
,4,4.590115,0.000026,2
,6,0.265569,0.000011,1
,7,2.044914,0.000162,1
,8,2.521462,0.000045,2
,11,0.278125,0.000071,1
,15,1.580565,0.000054,1
,17,2.841283,0.000351,2
,18,0.999462,-0.000018,1
,21,0.305778,0.000032,1
,25,2.353239,-0.000008,2
,26,0.388397,-0.000027,1
,27,5.586500,0.000303,7
,28,0.205069,-0.000031,1
,33,1.958577,-0.000055,3
,36,0.317162,0.000047,1
,38,0.524105,0.000369,1
,40,1.138060,0.000088,3
,44,0.689865,-0.000058,1
,45,0.508159,-0.000009,1
,49,4.913563,0.000558,3
,50,1.212280,0.000058,1
,51,3.807750,0.000115,1
,55,0.388630,-0.000005,1
,56,3.613864,0.000103,2
,61,12.168715,0.000235,6
,63,0.270899,-0.000020,1
