,,1617,,593,,2.726812816,,,,,,
,,,,,,,,,,,,
Q40,,,,,,,,,,,,
Area_num,,ica_basis2,,,,,,,,,,
0,,4,,9,60,39,16,55,,,,
1,,2,,60,2,32,29,1,,2,36,60
2,,1,,60,47,30,57,52,,2,60,
3,,1,,60,29,35,46,30,,60,,
4,,1,,60,56,31,29,23,,60,,
5,,1,,60,14,56,29,16,,60,,
6,,1,,60,47,2,32,30,,2,60,
7,,1,,60,20,33,28,34,,2,60,
8,,1,,60,2,53,20,49,,2,36,60
9,,1,,60,18,59,6,30,,60,,
10,,1,,60,20,33,6,62,,2,60,
11,,1,,60,36,2,14,10,,2,36,60
12,,1,,60,2,18,53,33,,2,60,
13,,1,,60,2,32,25,5,,2,60,
14,,1,,60,2,20,36,33,,2,60,
15,,2,,60,2,36,38,24,,2,36,60
16,,99,,99,99,99,99,99,,,,
17,,99,,99,99,99,99,99,,,,
18,,3,,60,14,2,27,63,,,,
19,,2,,60,2,13,57,28,,2,36,60
20,,2,,2,60,4,32,24,,2,60,
21,,99,,99,99,99,99,99,,,,
22,,99,,99,99,99,99,99,,,,
23,,99,,99,99,99,99,99,,,,
24,,99,,99,99,99,99,99,,,,
25,,3,,57,14,12,42,49,,,,
26,,99,,99,99,99,99,99,,,,
27,,99,,99,99,99,99,99,,,,
28,,7,,2,14,57,29,28,,,,
29,,9,,2,36,60,18,14,,,,
30,,99,,99,99,99,99,99,,,,
31,,99,,99,99,99,99,99,,,,
32,,6,,9,36,1,58,43,,,,
33,,2,,59,32,27,18,44,,,,
34,,6,,1,45,2,40,41,,,,
35,,99,,99,99,99,99,99,,,,
36,,99,,99,99,99,99,99,,,,
37,,99,,36,6,41,23,11,,,,
38,,1,,10,0,30,20,38,,,,
39,,0,,99,99,99,99,99,,0_area,,
40,,0,,99,99,99,99,99,,0_area,,
41,,0,,99,99,99,99,99,,0_area,,
42,,0,,99,99,99,99,99,,0_area,,
43,,0,,99,99,99,99,99,,0_area,,
44,,0,,99,99,99,99,99,,0_area,,
45,,0,,99,99,99,99,99,,0_area,,
46,,99,,99,99,99,99,99,,,,
47,,99,,99,99,99,99,99,,,,
48,,99,,99,99,99,99,99,,,,
49,,99,,99,99,99,99,99,,,,
50,,99,,99,99,99,99,99,,,,
51,,99,,2,57,60,28,29,,,,
52,,99,,99,99,99,99,99,,,,
53,,99,,99,99,99,99,99,,,,
54,,0,,99,99,99,99,99,,0_area,,
55,,1,,2,60,1,20,63,,2,60,
56,,99,,99,99,99,99,99,,,,
57,,99,,99,99,99,99,99,,,,
58,,99,,99,99,99,99,99,,,,
59,,99,,99,99,99,99,99,,,,
60,,99,,99,99,99,99,99,,,,
61,,99,,99,99,99,99,99,,,,
62,,99,,41,26,55,1,2,,,,
63,,99,,99,99,99,99,99,,,,
64,,99,,99,99,99,99,99,,,,
65,,99,,99,99,99,99,99,,,,
66,,5,,2,1,51,45,61,,,,
67,,99,,99,99,99,99,99,,,,
68,,99,,99,99,99,99,99,,,,
69,,99,,99,99,99,99,99,,,,
70,,1,,10,28,21,13,2,,2,,
71,,99,,99,99,99,99,99,,,,
72,,1,,24,36,26,3,57,,,,
73,,0,,99,99,99,99,99,,0_area,,
74,,0,,99,99,99,99,99,,0_area,,
75,,1,,2,18,5,10,28,,2,36,
76,,1,,2,38,29,47,43,,2,,
77,,99,,29,13,9,14,59,,,,
78,,1,,2,18,4,30,57,,2,,
79,,1,,38,47,6,55,4,,2,36,
80,,0,,99,99,99,99,99,,0_area,,
81,,0,,99,99,99,99,99,,0_area,,
82,,0,,99,99,99,99,99,,0_area,,
83,,0,,99,99,99,99,99,,0_area,,
84,,1,,60,1,52,18,46,,2,60,
85,,99,,99,99,99,99,99,,,,
86,,1,,2,60,14,49,0,,2,60,
87,,1,,2,12,1,20,29,,2,60,
88,,99,,99,99,99,99,99,,,,
89,,99,,99,99,99,99,99,,,,
90,,99,,38,2,41,60,23,,,,
91,,0,,99,99,99,99,99,,0_area,,
92,,2,,60,4,26,2,12,,2,60,
93,,99,,99,99,99,99,99,,,,
94,,99,,99,99,99,99,99,,,,
95,,99,,99,99,99,99,99,,,,
96,,5,,9,31,5,58,33,,,,
97,,99,,99,99,99,99,99,,,,
98,,3,,2,63,32,22,1,,,,
99,,99,,99,99,99,99,99,,,,
100,,99,,99,99,99,99,99,,,,
101,,99,,62,38,33,63,20,,,,
102,,99,,2,60,18,37,57,,,,
103,,99,,2,60,45,40,41,,,,
104,,99,,99,99,99,99,99,,,,
105,,99,,99,99,99,99,99,,,,
106,,99,,99,99,99,99,99,,,,
107,,99,,99,99,99,99,99,,,,
108,,0,,99,99,99,99,99,,0_area,,
109,,0,,99,99,99,99,99,,0_area,,
110,,0,,99,99,99,99,99,,0_area,,
111,,99,,99,99,99,99,99,,,,
112,,0,,99,99,99,99,99,,0_area,,
113,,0,,99,99,99,99,99,,0_area,,
114,,0,,99,99,99,99,99,,0_area,,
115,,99,,99,99,99,99,99,,,,
116,,0,,99,99,99,99,99,,0_area,,
117,,1,,18,27,40,20,39,,2,,
118,,1,,2,55,4,29,30,,2,36,
119,,1,,2,41,57,9,31,,2,36,
120,,0,,99,99,99,99,99,,0_area,,
121,,0,,99,99,99,99,99,,0_area,,
122,,0,,99,99,99,99,99,,0_area,,
123,,0,,99,99,99,99,99,,0_area,,
124,,0,,99,99,99,99,99,,0_area,,
125,,99,,99,99,99,99,99,,,,
126,,99,,2,57,6,25,52,,,,
127,,99,,99,99,99,99,99,,,,
128,,7,,2,9,1,55,27,,,,
