



100,basis,psnr_ave,ent_ave,area_num
,25,-1.547314,-0.000004,1
,27,-0.679474,0.000028,4
,30,-0.888132,-0.000059,1
,32,-0.743368,0.000028,1
,34,-0.203467,-0.000056,1
,35,-0.366968,0.000007,2
,40,0.546173,0.000048,5
,43,-0.483742,0.000006,3
,44,-0.225049,-0.000016,1
,46,1.036160,0.000051,1
,49,0.408741,0.000411,1
,50,-1.667161,0.000331,1
,51,-3.651120,0.000333,1
,54,-0.713209,0.000024,1
,56,-1.390018,0.000255,2
,58,0.236558,-0.000032,3
,59,-1.314486,0.000060,1
,61,1.781378,0.000255,3
,62,-1.026848,-0.000042,1



10,basis,psnr_ave,ent_ave,area_num
,0,-0.264328,-0.000040,1
,4,-0.270257,0.000013,2
,6,-1.786891,0.000011,1
,7,-3.515690,0.000162,1
,8,-0.780879,0.000022,2
,11,-2.717640,0.000071,1
,15,-0.679353,0.000054,1
,17,-3.313076,0.000175,2
,18,-0.592895,-0.000018,1
,21,-0.411196,0.000032,1
,25,1.176619,-0.000004,2
,26,-1.772042,-0.000027,1
,27,-1.555196,0.000043,7
,28,-0.393724,-0.000031,1
,33,-0.930033,-0.000018,3
,36,-0.872346,0.000047,1
,38,0.524105,0.000369,1
,40,-2.647366,0.000029,3
,44,-0.209818,-0.000058,1
,45,0.508159,-0.000009,1
,49,-5.536867,0.000186,3
,50,-0.902951,0.000058,1
,51,3.807750,0.000115,1
,55,-3.918809,-0.000005,1
,56,-0.919271,0.000051,2
,61,2.028119,0.000039,6
,63,-0.874739,-0.000020,1
