,,1686,,612,,2.754901961,,,,,
,,,,,,,,,,,
Q40,,,,,,,,,,,
Area_num,,ica_basis2,,,,,,,,,
0,,2,,33,44,19,38,8,,,
1,,2,,44,8,1,43,14,,8,44
2,,1,,44,49,55,45,30,,44,
3,,1,,44,37,43,62,46,,8,44
4,,1,,44,49,50,16,24,,8,44
5,,1,,44,49,14,10,32,,8,44
6,,1,,44,8,49,55,24,,8,44
7,,1,,44,10,49,17,48,,8,44
8,,1,,44,8,55,38,6,,8,44
9,,1,,44,8,14,19,5,,8,44
10,,1,,44,15,24,49,26,,8,44
11,,1,,44,10,41,8,49,,8,44
12,,1,,44,8,38,15,49,,8,44
13,,2,,44,8,55,10,1,,8,44
14,,2,,44,8,43,55,10,,8,44
15,,3,,44,43,8,32,10,,,
16,,99,,8,44,31,11,38,,,
17,,99,,38,8,55,44,21,,,
18,,3,,8,44,19,27,63,,,
19,,2,,44,8,34,13,27,,8,44
20,,2,,8,44,3,34,20,,8,44
21,,99,,99,99,99,99,99,,,
22,,99,,99,99,99,99,99,,,
23,,99,,19,43,28,21,26,,,
24,,5,,56,47,50,20,8,,,
25,,99,,10,32,3,36,34,,,
26,,99,,99,99,99,99,99,,,
27,,99,,49,63,1,10,61,,,
28,,99,,8,19,32,10,63,,,
29,,9,,8,43,44,20,19,,,
30,,99,,99,99,99,99,99,,,
31,,99,,99,99,99,99,99,,,
32,,3,,33,13,8,43,11,,,
33,,2,,43,54,33,18,60,,,
34,,4,,43,4,10,8,9,,,
35,,99,,38,8,43,10,62,,,
36,,99,,10,53,61,63,16,,,
37,,5,,53,45,42,43,44,,,
38,,1,,1,63,26,5,57,,,
39,,0,,31,43,8,5,27,,0_area,
40,,0,,19,55,40,57,60,,0_area,
41,,0,,34,12,59,44,21,,0_area,
42,,0,,44,15,8,63,50,,0_area,
43,,0,,44,28,39,6,45,,0_area,
44,,0,,44,1,16,43,27,,0_area,
45,,0,,55,44,9,56,14,,0_area,
46,,99,,43,15,40,17,44,,,
47,,99,,10,43,38,24,25,,,
48,,99,,38,26,44,10,25,,,
49,,99,,8,43,17,19,10,,,
50,,99,,38,21,16,41,53,,,
51,,99,,8,43,63,10,44,,,
52,,99,,99,99,99,99,99,,,
53,,1,,43,8,19,50,58,,,
54,,0,,24,18,55,43,6,,0_area,
55,,1,,8,44,54,22,53,,8,
56,,99,,99,99,99,99,99,,,
57,,99,,99,99,99,99,99,,,
58,,99,,99,99,99,99,99,,,
59,,99,,8,19,43,24,50,,,
60,,99,,55,10,16,24,36,,,
61,,99,,29,39,38,8,32,,,
62,,1,,19,53,45,1,16,,,
63,,99,,8,38,49,2,44,,,
64,,99,,99,99,99,99,99,,,
65,,99,,1,44,13,10,8,,,
66,,6,,8,10,62,16,45,,,
67,,99,,99,99,99,99,99,,,
68,,99,,8,43,10,32,24,,,
69,,99,,55,8,10,1,18,,,
70,,1,,54,8,21,15,56,,8,
71,,99,,10,8,43,27,63,,,
72,,99,,34,32,48,27,10,,,
73,,0,,55,8,22,42,45,,0_area,
74,,0,,1,8,47,19,22,,0_area,
75,,1,,8,57,31,1,48,,8,
76,,1,,8,24,6,25,0,,8,
77,,99,,26,21,34,45,16,,,
78,,1,,8,53,45,1,10,,8,
79,,1,,43,28,8,24,16,,8,
80,,0,,27,50,35,2,34,,0_area,
81,,99,,8,18,19,53,3,,,
82,,0,,24,44,31,57,38,,0_area,
83,,99,,44,16,21,5,1,,,
84,,1,,44,27,1,25,8,,44,
85,,99,,38,43,3,10,34,,,
86,,1,,8,38,10,1,11,,8,
87,,1,,8,49,50,19,43,,8,
88,,99,,8,43,44,15,53,,,
89,,99,,8,44,48,54,32,,,
90,,99,,43,19,1,21,44,,,
91,,0,,44,15,50,6,32,,0_area,
92,,2,,44,8,34,3,16,,8,44
93,,99,,99,99,99,99,99,,,
94,,99,,99,99,99,99,99,,,
95,,5,,8,38,10,43,53,,,
96,,5,,33,8,38,35,37,,,
97,,99,,8,38,31,43,39,,,
98,,3,,8,1,24,25,42,,,
99,,7,,35,45,33,8,31,,,
100,,99,,99,99,99,99,99,,,
101,,99,,99,99,99,99,99,,,
102,,99,,38,44,13,33,32,,,
103,,99,,8,38,43,1,49,,,
104,,6,,8,10,26,47,40,,,
105,,99,,99,99,99,99,99,,,
106,,99,,8,16,37,63,23,,,
107,,99,,99,99,99,99,99,,,
108,,0,,55,17,15,10,44,,0_area,
109,,0,,19,22,43,41,16,,0_area,
110,,0,,8,14,43,2,18,,0_area,
111,,1,,16,38,55,30,37,,,
112,,0,,19,21,30,7,6,,0_area,
113,,0,,35,16,49,55,8,,0_area,
114,,99,,38,55,19,44,56,,,
115,,1,,8,47,50,43,44,,8,
116,,0,,34,16,7,40,59,,0_area,
117,,1,,8,24,41,36,44,,8,
118,,1,,8,41,18,34,13,,8,
119,,1,,8,19,53,17,12,,8,
120,,0,,8,4,61,56,62,,0_area,
121,,0,,55,28,43,8,51,,0_area,
122,,0,,43,45,30,49,42,,0_area,
123,,0,,8,55,60,50,13,,0_area,
124,,0,,44,43,61,23,17,,0_area,
125,,99,,43,54,38,44,10,,,
126,,1,,8,43,20,29,10,,8,
127,,99,,8,38,10,43,33,,,
128,,3,,33,8,11,49,0,,,
129,,99,,8,10,38,63,44,,,
