
ICA_Basis,0.022365
Q,DCT_ent,PSNR,SSIM,MS-SSIM,Area,,ICA_ent,PSNR,SSIM,MS-SSIM,Area,,Basis
80,2.931662,29.400550,0.891387,,1023,,2.874505,29.404945,0.891439,,1,,15,16,31
70,2.426828,27.724406,0.845762,,1021,,2.380288,27.737185,0.845955,,3,,15,31,55
60,2.077617,26.672822,0.805321,,1019,,2.039342,26.687471,0.805636,,5,,33,44,58
50,1.806696,26.022949,0.773314,,1010,,1.767026,26.042346,0.773828,,14,,33,44,58
40,1.528631,25.405561,0.739565,,1000,,1.490133,25.429944,0.739964,,24,,15,31,55
30,1.221975,24.619931,0.686322,,978,,1.189036,24.649011,0.687165,,46,,15,31,55
20,0.847014,23.620969,0.609774,,902,,0.831648,23.671955,0.609995,,122,,15,31,55
10,0.404407,21.900344,0.456870,,623,,0.431440,22.079054,0.452499,,401,,99,99,99
