


,[30]
[Step 5]
,0,37,93,113,114,61,30,28,14,12,13,13,11,14,24,19,21,15,14,17,12,9,10,10,7,11,9,6,9,3,6,4,13,10,10,11,6,6,15,8,8,4,8,4,14,9,5,4,11,5,9,4,6,3,7,2,4,4,2,4,6,1,5,3,0,3,3,0,3,6,3,1,4,1,2,1,4,1,2,0,0,1,0,2,2,1,0,0,1,0,1,2,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[Step 10]
,0,130,227,91,42,25,24,38,40,29,29,19,17,20,15,9,17,20,17,21,16,12,18,14,15,14,10,10,6,6,10,6,3,6,3,9,5,3,5,3,0,1,4,1,1,1,3,0,2,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[Step 20]
,0,357,133,49,78,58,36,35,26,37,37,30,29,24,16,16,9,9,14,8,3,5,2,4,2,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
[Step 50]
,0,515,160,80,91,73,42,27,16,8,6,1,2,1,1,1,0,0,0,0
