



,,[1],[2],[3],[4],[5],,[6],[7],[8],[9],[10]
,[0],36,3,7,0,1,,9,34,52,54,31
,[2],36,30,6,50,58,,54,5,55,25,53
,[3],3,44,5,48,40,,39,20,60,21,36
,[4],29,27,33,47,63,,1,25,17,55,31
,[5],40,23,43,30,0,,17,51,57,47,2
,[6],42,45,30,54,26,,21,53,63,4,32
,[7],57,3,43,8,56,,38,15,13,63,4
,[8],0,12,50,25,42,,26,38,57,8,47
,[10],45,44,31,12,49,,63,42,17,56,9
,[11],9,24,43,59,46,,61,7,47,21,23
,[14],61,27,34,30,48,,32,1,58,36,3
,[15],32,27,6,62,30,,63,14,42,23,9
,[16],28,23,9,44,53,,1,32,29,57,36
,[17],6,0,5,41,19,,54,33,63,16,53
,[19],19,33,31,60,2,,12,47,51,57,11
,[22],61,20,47,33,2,,56,45,9,41,58
,[24],11,41,51,61,17,,10,19,28,46,53
,[25],21,51,3,55,27,,7,40,59,45,50
,[26],37,19,50,35,52,,3,42,59,6,20
,[28],14,42,31,43,33,,37,18,5,19,55
,[30],53,23,46,43,41,,5,49,37,26,52
,[31],28,55,34,58,50,,6,12,24,41,54
,[32],42,29,14,16,6,,8,24,31,28,56
,[33],46,12,17,7,29,,28,21,43,23,51
,[36],54,57,33,60,39,,31,58,43,55,2
,[38],25,14,39,22,44,,34,45,6,50,5
,[58],53,39,24,18,4,,51,27,8,28,16
,[64],32,9,55,31,7,,6,58,13,35,54
,[65],12,13,33,45,44,,17,21,46,15,55
,[69],4,44,61,52,35,,20,9,50,57,23
,[94],46,1,60,42,32,,52,44,17,6,33
,[96],36,3,12,4,6,,29,46,55,14,19
,[118],46,13,44,37,36,,49,12,42,6,0
,[122],2,12,32,49,36,,35,54,33,47,5
,[126],52,46,33,43,19,,38,7,32,13,59
,[127],12,35,5,13,27,,37,55,31,36,26
,[128],38,3,1,10,58,,29,52,51,28,49
,[129],42,36,8,56,60,,5,62,63,33,49
,[134],40,9,21,62,41,,60,42,49,24,63
,[146],25,8,23,29,27,,6,9,60,18,37
,[150],5,63,42,26,33,,8,53,45,57,25
,[153],8,10,44,52,19,,55,34,48,38,35
,[160],58,53,18,40,3,,31,12,45,42,0
,[166],31,24,3,55,11,,26,50,1,51,17
,[170],27,20,4,44,15,,32,34,10,52,19
