
[136] : 11.281250,  8.843750  (-2.437500)
[137] : 20.750000,  20.515625  (-0.234375)
[138] : 12.828125,  11.687500  (-1.140625)
[139] : 18.140625,  30.500000  (12.359375)
[140] : 8.546875,  8.515625  (-0.031250)
[141] : 11.437500,  10.687500  (-0.750000)
[142] : 16.078125,  15.906250  (-0.171875)
[143] : 33.875000,  33.125000  (-0.750000)
[144] : 45.593750,  45.609375  (0.015625)
[145] : 18.109375,  17.812500  (-0.296875)
[146] : 13.406250,  13.406250  (0.000000)
[147] : 10.828125,  10.750000  (-0.078125)
[148] : 14.265625,  13.953125  (-0.312500)
[149] : 19.703125,  19.765625  (0.062500)
[150] : 14.312500,  14.312500  (0.000000)
[151] : 7.000000,  7.000000  (0.000000)
[152] : 6.828125,  6.828125  (0.000000)
[153] : 9.828125,  9.765625  (-0.062500)
[154] : 5.703125,  5.703125  (0.000000)
[155] : 3.515625,  3.515625  (0.000000)
[156] : 6.968750,  6.968750  (0.000000)
[157] : 6.015625,  6.093750  (0.078125)
[158] : 4.484375,  4.484375  (0.000000)
[159] : 11.156250,  11.156250  (0.000000)
[160] : 30.515625,  28.984375  (-1.531250)
[161] : 12.484375,  12.484375  (0.000000)
[162] : 9.703125,  9.703125  (0.000000)
[163] : 12.640625,  12.640625  (0.000000)
[164] : 12.515625,  12.515625  (0.000000)
[165] : 8.265625,  8.265625  (0.000000)
[166] : 9.765625,  7.515625  (-2.250000)
[167] : 13.406250,  13.265625  (-0.140625)
[168] : 10.984375,  10.671875  (-0.312500)
[169] : 7.156250,  7.203125  (0.046875)
[170] : 8.406250,  8.296875  (-0.109375)
[171] : 11.968750,  11.937500  (-0.031250)
[172] : 11.343750,  9.343750  (-2.000000)
[173] : 6.421875,  6.468750  (0.046875)
[174] : 13.640625,  13.640625  (0.000000)
[175] : 19.937500,  19.937500  (0.000000)
[176] : 15.828125,  15.484375  (-0.343750)
[177] : 10.500000,  10.390625  (-0.109375)
[178] : 12.906250,  11.750000  (-1.156250)
[179] : 22.593750,  17.546875  (-5.046875)
[180] : 20.421875,  20.421875  (0.000000)
[181] : 15.390625,  13.406250  (-1.984375)
[182] : 13.125000,  10.578125  (-2.546875)
[183] : 7.250000,  7.250000  (0.000000)
[184] : 9.750000,  9.750000  (0.000000)
[185] : 6.781250,  6.734375  (-0.046875)
[186] : 9.250000,  9.187500  (-0.062500)
[187] : 8.265625,  8.250000  (-0.015625)
[188] : 5.953125,  5.953125  (0.000000)
[189] : 6.093750,  6.093750  (0.000000)
[190] : 6.546875,  6.109375  (-0.437500)
[191] : 10.250000,  10.250000  (0.000000)
[192] : 33.078125,  29.000000  (-4.078125)
[193] : 9.296875,  9.156250  (-0.140625)
[194] : 7.140625,  7.140625  (0.000000)
[195] : 10.546875,  10.531250  (-0.015625)
[196] : 9.734375,  9.734375  (0.000000)
[197] : 6.343750,  6.359375  (0.015625)
[198] : 9.140625,  6.812500  (-2.328125)
[199] : 16.765625,  16.765625  (0.000000)
[200] : 12.671875,  12.250000  (-0.421875)
[201] : 10.125000,  9.781250  (-0.343750)
[202] : 9.062500,  9.062500  (0.000000)
[203] : 12.750000,  12.687500  (-0.062500)
[204] : 16.937500,  15.781250  (-1.156250)
[205] : 13.500000,  13.390625  (-0.109375)
[206] : 10.203125,  10.109375  (-0.093750)
[207] : 19.812500,  17.062500  (-2.750000)
[208] : 13.312500,  13.234375  (-0.078125)
[209] : 17.125000,  17.062500  (-0.062500)
[210] : 17.125000,  17.343750  (0.218750)
[211] : 8.968750,  8.984375  (0.015625)
[212] : 13.312500,  13.109375  (-0.203125)
[213] : 10.250000,  10.250000  (0.000000)
[214] : 6.843750,  5.906250  (-0.937500)
[215] : 6.859375,  6.859375  (0.000000)
[216] : 7.281250,  7.218750  (-0.062500)
[217] : 10.359375,  10.062500  (-0.296875)
[218] : 12.453125,  12.468750  (0.015625)
[219] : 7.265625,  6.328125  (-0.937500)
[220] : 11.171875,  11.171875  (0.000000)
[221] : 8.000000,  7.343750  (-0.656250)
[222] : 5.937500,  6.296875  (0.359375)
[223] : 9.156250,  9.203125  (0.046875)
[224] : 28.734375,  29.015625  (0.281250)
[225] : 6.218750,  6.171875  (-0.046875)
[226] : 10.984375,  10.062500  (-0.921875)
