[136] : 34.937500,  28.843750  (-6.093750)
[137] : 59.953125,  59.187500  (-0.765625)
[138] : 56.781250,  54.421875  (-2.359375)
[139] : 47.078125,  42.656250  (-4.421875)
[140] : 8.546875,  8.515625  (-0.031250)
[141] : 18.156250,  16.218750  (-1.937500)
[142] : 42.703125,  42.343750  (-0.359375)
[143] : 74.718750,  74.375000  (-0.343750)
[144] : 88.046875,  87.562500  (-0.484375)
[145] : 76.562500,  76.109375  (-0.453125)
[146] : 32.718750,  32.718750  (0.000000)
[147] : 55.203125,  55.156250  (-0.046875)
[148] : 31.015625,  30.984375  (-0.031250)
[149] : 26.671875,  26.671875  (0.000000)
[150] : 14.312500,  14.312500  (0.000000)
[151] : 34.968750,  34.968750  (0.000000)
[152] : 16.578125,  16.578125  (0.000000)
[153] : 37.953125,  37.640625  (-0.312500)
[154] : 14.734375,  14.734375  (0.000000)
[155] : 25.953125,  25.953125  (0.000000)
[156] : 33.000000,  33.000000  (0.000000)
[157] : 30.265625,  30.156250  (-0.109375)
[158] : 35.921875,  35.921875  (0.000000)
[159] : 30.843750,  30.843750  (0.000000)
[160] : 125.968750,  125.812500  (-0.156250)
[161] : 12.484375,  12.484375  (0.000000)
[162] : 22.890625,  22.890625  (0.000000)
[163] : 12.640625,  12.640625  (0.000000)
[164] : 26.703125,  26.703125  (0.000000)
[165] : 11.671875,  11.671875  (0.000000)
[166] : 21.640625,  16.390625  (-5.250000)
[167] : 46.875000,  46.171875  (-0.703125)
[168] : 55.390625,  54.484375  (-0.906250)
[169] : 10.531250,  6.734375  (-3.796875)
[170] : 21.093750,  20.859375  (-0.234375)
[171] : 47.031250,  46.656250  (-0.375000)
[172] : 22.093750,  17.843750  (-4.250000)
[173] : 14.015625,  13.968750  (-0.046875)
[174] : 13.640625,  13.640625  (0.000000)
[175] : 38.328125,  38.328125  (0.000000)
[176] : 23.953125,  23.546875  (-0.406250)
[177] : 11.750000,  11.578125  (-0.171875)
[178] : 49.984375,  34.234375  (-15.750000)
[179] : 51.812500,  34.890625  (-16.921875)
[180] : 51.859375,  51.859375  (0.000000)
[181] : 34.515625,  22.750000  (-11.765625)
[182] : 17.562500,  10.609375  (-6.953125)
[183] : 30.531250,  30.531250  (0.000000)
[184] : 18.500000,  18.500000  (0.000000)
[185] : 14.031250,  13.953125  (-0.078125)
[186] : 21.093750,  20.843750  (-0.250000)
[187] : 11.046875,  11.031250  (-0.015625)
[188] : 12.546875,  12.546875  (0.000000)
[189] : 11.406250,  11.406250  (0.000000)
[190] : 16.359375,  14.171875  (-2.187500)
[191] : 10.250000,  10.250000  (0.000000)
