   DCT only, opt basis No.6 (MSE)
[198] : 3.187500,  2.796875
[199] : 4.812500,  4.812500
[200] : 4.796875,  4.812500
[201] : 5.062500,  5.093750
[202] : 3.593750,  3.593750
[203] : 3.859375,  3.796875
[204] : 4.265625,  4.234375
[205] : 5.296875,  5.312500
[206] : 3.359375,  4.203125
[207] : 6.453125,  6.421875
[208] : 4.296875,  4.281250
[209] : 8.859375,  8.140625
[210] : 5.890625,  5.265625
[211] : 5.109375,  5.125000
[212] : 6.125000,  6.203125
[213] : 3.750000,  3.750000
[214] : 3.875000,  3.781250
[215] : 3.796875,  3.796875
[216] : 4.062500,  4.031250
[217] : 3.390625,  3.406250
[218] : 3.390625,  3.437500
[219] : 3.921875,  3.640625
[220] : 3.390625,  3.390625
[221] : 3.171875,  3.046875
[222] : 2.437500,  2.453125
[223] : 2.468750,  2.515625
[224] : 6.531250,  11.031250
[225] : 4.218750,  4.171875
[226] : 6.390625,  5.937500
[227] : 5.250000,  5.250000
[228] : 3.875000,  3.875000
[229] : 3.031250,  3.031250
[230] : 4.250000,  4.078125
[231] : 4.593750,  4.562500
[232] : 3.296875,  3.296875
[233] : 5.343750,  4.937500
[234] : 5.203125,  5.203125
[235] : 4.328125,  4.406250
[236] : 5.546875,  5.546875
[237] : 4.515625,  4.437500
[238] : 4.546875,  4.406250
[239] : 3.890625,  3.890625
[240] : 3.859375,  3.859375
[241] : 4.250000,  3.890625
[242] : 3.203125,  3.203125
[243] : 4.359375,  4.343750
[244] : 3.281250,  3.281250
[245] : 4.703125,  4.703125
[246] : 4.687500,  4.687500
[247] : 2.781250,  2.781250
[248] : 3.125000,  2.703125
[249] : 3.562500,  3.703125
[250] : 3.375000,  3.484375
[251] : 3.390625,  4.515625
[252] : 3.359375,  3.359375
[253] : 2.250000,  2.250000
[254] : 2.250000,  2.250000
[255] : 1.671875,  1.671875
[256] : 4.078125,  7.515625
[257] : 28.781250,  55.203125
[258] : 26.781250,  27.656250
[259] : 22.781250,  23.078125
[260] : 34.109375,  36.109375
[261] : 25.312500,  41.140625
[262] : 5.265625,  5.265625
[263] : 3.828125,  3.828125
[264] : 4.640625,  4.218750
[265] : 3.625000,  3.000000
[266] : 5.000000,  5.015625
[267] : 3.734375,  3.765625
[268] : 3.125000,  3.125000
[269] : 3.578125,  3.578125
[270] : 4.375000,  4.421875
[271] : 3.281250,  3.281250
[272] : 3.062500,  2.953125
[273] : 2.562500,  2.562500
[274] : 4.796875,  4.593750
[275] : 2.984375,  2.984375
[276] : 2.203125,  2.250000
[277] : 2.640625,  2.640625
[278] : 3.156250,  3.156250
[279] : 1.578125,  1.218750
[280] : 2.484375,  1.828125
[281] : 1.812500,  1.812500
[282] : 3.281250,  3.281250
[283] : 2.140625,  2.140625
[284] : 2.156250,  2.156250
[285] : 2.312500,  2.312500
[286] : 1.921875,  2.000000
[287] : 1.765625,  1.765625
[288] : 2.500000,  4.125000
[289] : 5.203125,  5.546875
[290] : 16.093750,  16.265625
[291] : 4.890625,  5.125000
[292] : 4.593750,  4.593750
[293] : 48.218750,  48.843750
[294] : 25.593750,  43.843750
[295] : 4.734375,  4.687500
[296] : 4.000000,  4.078125
[297] : 3.140625,  3.140625
[298] : 5.875000,  5.828125
[299] : 4.437500,  4.437500
[300] : 3.609375,  3.609375
[301] : 3.593750,  3.437500
[302] : 5.921875,  5.921875
[303] : 4.140625,  4.140625
[304] : 3.093750,  3.281250
[305] : 3.046875,  3.078125
[306] : 2.781250,  2.750000
[307] : 3.906250,  3.906250
[308] : 3.953125,  4.000000
[309] : 3.250000,  2.921875
[310] : 3.343750,  3.359375
