   DCT only, opt basis No.6 (MSE)
[866] : 1.937500,  1.937500
[867] : 1.171875,  1.171875
[868] : 1.562500,  1.562500
[869] : 1.796875,  1.546875
[870] : 1.765625,  1.765625
[871] : 1.468750,  1.312500
[872] : 3.203125,  3.203125
[873] : 2.984375,  2.937500
[874] : 4.546875,  4.593750
[875] : 2.609375,  2.296875
[876] : 4.484375,  4.359375
[877] : 5.046875,  5.031250
[878] : 24.140625,  24.781250
[879] : 38.875000,  41.203125
[880] : 35.390625,  47.015625
[881] : 34.203125,  59.265625
[882] : 27.187500,  70.093750
[883] : 30.750000,  30.375000
[884] : 30.578125,  30.968750
[885] : 35.515625,  35.515625
[886] : 38.078125,  37.843750
[887] : 17.359375,  58.265625
[888] : 29.609375,  36.000000
[889] : 27.625000,  28.687500
[890] : 37.343750,  37.187500
[891] : 23.703125,  24.000000
[892] : 8.703125,  8.500000
[893] : 17.171875,  20.375000
[894] : 3.125000,  3.062500
[895] : 1.203125,  1.156250
[896] : 2.312500,  3.828125
[897] : 1.859375,  1.859375
[898] : 2.515625,  2.515625
[899] : 1.500000,  1.500000
[900] : 2.312500,  2.312500
[901] : 1.921875,  1.921875
[902] : 1.734375,  1.656250
[903] : 1.968750,  1.968750
[904] : 2.484375,  2.468750
[905] : 4.015625,  4.078125
[906] : 2.687500,  2.687500
[907] : 2.578125,  2.578125
[908] : 3.281250,  3.281250
[909] : 18.890625,  18.609375
[910] : 44.515625,  78.406250
[911] : 27.812500,  27.812500
[912] : 34.343750,  150.750000
[913] : 30.859375,  30.359375
[914] : 42.234375,  43.265625
[915] : 39.984375,  72.359375
[916] : 42.375000,  43.000000
[917] : 25.281250,  24.546875
[918] : 27.343750,  83.796875
[919] : 25.406250,  25.359375
[920] : 25.906250,  29.156250
[921] : 22.593750,  23.015625
[922] : 38.718750,  38.796875
[923] : 36.500000,  304.343750
[924] : 37.328125,  37.093750
[925] : 36.765625,  314.125000
[926] : 11.734375,  11.468750
[927] : 1.671875,  1.671875
[928] : 5.781250,  5.812500
[929] : 3.812500,  3.812500
[930] : 2.625000,  2.625000
[931] : 2.484375,  2.484375
[932] : 2.609375,  2.609375
[933] : 2.812500,  2.812500
[934] : 2.718750,  2.718750
[935] : 1.734375,  1.734375
[936] : 2.281250,  2.281250
[937] : 2.843750,  2.593750
[938] : 9.656250,  12.734375
[939] : 6.734375,  6.328125
[940] : 6.187500,  6.187500
[941] : 31.578125,  31.625000
[942] : 10.656250,  10.203125
[943] : 10.593750,  10.593750
[944] : 19.015625,  19.015625
[945] : 7.562500,  7.609375
[946] : 16.140625,  16.140625
[947] : 21.703125,  21.984375
[948] : 26.656250,  28.250000
[949] : 26.234375,  26.187500
[950] : 40.562500,  40.140625
[951] : 14.359375,  14.250000
[952] : 19.531250,  23.187500
[953] : 18.875000,  35.468750
[954] : 23.890625,  43.906250
[955] : 33.140625,  34.078125
[956] : 19.406250,  19.343750
[957] : 25.984375,  43.390625
[958] : 27.984375,  27.984375
[959] : 22.031250,  22.031250
[960] : 11.734375,  11.734375
[961] : 6.812500,  6.625000
[962] : 3.750000,  3.750000
[963] : 4.578125,  4.562500
[964] : 3.718750,  3.718750
[965] : 4.421875,  4.421875
[966] : 5.218750,  5.218750
[967] : 3.546875,  3.546875
[968] : 3.078125,  3.078125
[969] : 13.062500,  12.656250
[970] : 20.156250,  19.890625
[971] : 7.468750,  7.281250
[972] : 4.687500,  4.687500
[973] : 19.031250,  18.171875
[974] : 2.640625,  2.640625
[975] : 3.250000,  2.562500
[976] : 4.765625,  5.484375
[977] : 3.328125,  3.406250
[978] : 6.484375,  6.484375
[979] : 8.750000,  8.750000
[980] : 20.531250,  27.234375
[981] : 32.468750,  82.375000
[982] : 18.671875,  19.125000
[983] : 17.296875,  17.421875
[984] : 11.281250,  12.156250
[985] : 15.937500,  15.734375
[986] : 16.859375,  19.093750
[987] : 28.015625,  28.890625
[988] : 22.875000,  46.843750
[989] : 36.640625,  36.578125
[990] : 35.781250,  61.890625
[991] : 30.000000,  29.953125
[992] : 18.328125,  18.328125
[993] : 4.000000,  4.281250
[994] : 3.578125,  3.609375
[995] : 3.421875,  3.546875
[996] : 4.218750,  4.234375
[997] : 3.296875,  3.296875
[998] : 5.031250,  5.015625
[999] : 3.328125,  3.375000
[1000] : 3.171875,  3.187500
[1001] : 4.031250,  4.484375
[1002] : 2.984375,  2.687500
[1003] : 2.406250,  2.531250
[1004] : 6.000000,  5.828125
[1005] : 4.359375,  4.375000
[1006] : 5.531250,  5.500000
[1007] : 3.593750,  3.640625
[1008] : 5.718750,  5.687500
[1009] : 2.343750,  2.453125
[1010] : 3.265625,  3.296875
[1011] : 5.546875,  5.906250
[1012] : 6.609375,  6.765625
[1013] : 7.562500,  7.531250
[1014] : 12.328125,  14.140625
[1015] : 15.671875,  16.156250
[1016] : 15.343750,  21.046875
[1017] : 19.765625,  19.843750
[1018] : 32.781250,  41.796875
[1019] : 21.953125,  22.812500
[1020] : 22.156250,  22.500000
[1021] : 20.890625,  20.312500
[1022] : 35.000000,  39.453125
[1023] : 17.921875,  18.453125
