



,[0],,,,317.125000,,,,276.906250,,,,213.625000,,,,163.328125



,[1],,,,26.796875,,,,20.453125,,,,17.203125,,,,14.421875



,[2],,,,91.109375,,,,62.703125,,,,54.125000,,,,45.421875



,[3],,,,130.453125,,,,92.734375,,,,71.281250,,,,57.906250



,[4],,,,129.812500,,,,71.000000,,,,55.500000,,,,44.593750



,[5],,,,169.578125,,,,90.281250,,,,58.843750,,,,46.218750



,[6],,,,212.843750,,,,101.671875,,,,60.453125,,,,50.390625



,[7],,,,163.359375,,,,59.062500,,,,45.078125,,,,36.875000



,[8],,,,179.921875,,,,73.671875,,,,45.609375,,,,38.484375



,[9],,,,222.359375,,,,98.453125,,,,61.093750,,,,48.796875



,[10],,,,174.031250,,,,85.750000,,,,56.343750,,,,47.546875



,[11],,,,187.593750,,,,81.937500,,,,59.546875,,,,44.312500



,[12],,,,185.218750,,,,68.562500,,,,49.890625,,,,35.750000



,[13],,,,172.015625,,,,76.328125,,,,44.171875,,,,35.937500



,[14],,,,204.406250,,,,108.250000,,,,61.343750,,,,52.968750



,[15],,,,135.265625,,,,93.546875,,,,42.312500,,,,29.875000



,[16],,,,112.531250,,,,89.484375,,,,73.984375,,,,63.828125



,[17],,,,155.812500,,,,103.375000,,,,79.796875,,,,69.890625



,[18],,,,104.953125,,,,89.578125,,,,71.328125,,,,58.687500



,[19],,,,97.078125,,,,64.546875,,,,50.656250,,,,39.265625



,[20],,,,76.453125,,,,62.390625,,,,59.281250,,,,45.765625



,[21],,,,385.921875,,,,300.609375,,,,220.953125,,,,173.859375



,[22],,,,393.968750,,,,265.765625,,,,220.796875,,,,185.500000



,[23],,,,341.687500,,,,232.734375,,,,188.921875,,,,134.281250



,[24],,,,59.312500,,,,45.250000,,,,38.312500,,,,34.812500



,[25],,,,59.250000,,,,48.140625,,,,36.937500,,,,30.359375



,[26],,,,127.890625,,,,95.531250,,,,73.750000,,,,49.765625



,[27],,,,56.562500,,,,46.125000,,,,38.812500,,,,32.312500



,[28],,,,286.546875,,,,181.687500,,,,161.140625,,,,138.812500



,[29],,,,800.484375,,,,407.250000,,,,312.593750,,,,249.187500



,[30],,,,798.796875,,,,497.156250,,,,322.812500,,,,240.671875



,[31],,,,554.218750,,,,378.187500,,,,249.687500,,,,205.734375



,[32],,,,312.328125,,,,201.218750,,,,153.953125,,,,133.968750



,[33],,,,40.078125,,,,33.343750,,,,30.015625,,,,26.859375



,[34],,,,59.250000,,,,46.437500,,,,40.546875,,,,32.015625



,[35],,,,122.656250,,,,98.234375,,,,78.734375,,,,60.328125



,[36],,,,110.828125,,,,89.843750,,,,73.156250,,,,63.109375



,[37],,,,101.203125,,,,82.734375,,,,67.937500,,,,55.765625



,[38],,,,24.125000,,,,20.750000,,,,18.468750,,,,15.812500



,[39],,,,7.484375,,,,6.500000,,,,6.109375,,,,5.750000



,[40],,,,10.875000,,,,8.171875,,,,7.296875,,,,6.562500



,[41],,,,6.562500,,,,5.781250,,,,4.906250,,,,4.734375



,[42],,,,6.468750,,,,6.062500,,,,5.484375,,,,4.812500



,[43],,,,6.937500,,,,6.312500,,,,5.640625,,,,4.593750



,[44],,,,10.390625,,,,6.265625,,,,5.843750,,,,4.796875



,[45],,,,8.296875,,,,7.265625,,,,6.328125,,,,5.515625



,[46],,,,13.093750,,,,9.078125,,,,7.812500,,,,6.875000



,[47],,,,18.468750,,,,12.609375,,,,9.515625,,,,7.593750



,[48],,,,24.468750,,,,16.828125,,,,13.953125,,,,11.156250



,[49],,,,18.875000,,,,12.468750,,,,9.078125,,,,6.562500



,[50],,,,31.671875,,,,20.718750,,,,16.421875,,,,13.296875



,[51],,,,18.406250,,,,13.109375,,,,9.796875,,,,8.484375



,[52],,,,36.843750,,,,26.421875,,,,18.984375,,,,13.875000



,[53],,,,21.515625,,,,16.531250,,,,11.640625,,,,9.406250



,[54],,,,17.750000,,,,12.781250,,,,10.828125,,,,8.031250



,[55],,,,11.343750,,,,8.421875,,,,7.390625,,,,6.750000



,[56],,,,127.015625,,,,100.500000,,,,75.812500,,,,58.312500



,[57],,,,294.515625,,,,201.734375,,,,136.765625,,,,90.750000



