
量子化なし

[138] DCT : 190.156250, ICA : 190.156250
[139] DCT : 196.468750, ICA : 196.468750
[140] DCT : 200.546875, ICA : 200.546875
[141] DCT : 196.343750, ICA : 196.343750
[142] DCT : 187.328125, ICA : 187.328125
[143] DCT : 181.187500, ICA : 181.187500
[144] DCT : 183.468750, ICA : 183.468750
[145] DCT : 189.562500, ICA : 189.562500
[146] DCT : 193.531250, ICA : 193.531250
[147] DCT : 192.765625, ICA : 192.765625
[148] DCT : 195.765625, ICA : 195.765625
[149] DCT : 197.984375, ICA : 197.984375
[150] DCT : 201.875000, ICA : 201.875000
[151] DCT : 204.156250, ICA : 204.156250
[152] DCT : 206.140625, ICA : 206.140625
[153] DCT : 204.515625, ICA : 204.515625
[154] DCT : 206.765625, ICA : 206.765625
[155] DCT : 208.421875, ICA : 208.421875
[156] DCT : 208.625000, ICA : 208.625000
[157] DCT : 208.796875, ICA : 208.796875
[158] DCT : 208.859375, ICA : 208.859375
[159] DCT : 208.781250, ICA : 208.781250
[160] DCT : 195.343750, ICA : 195.343750
[161] DCT : 201.828125, ICA : 201.828125
[162] DCT : 203.296875, ICA : 203.296875
[163] DCT : 201.703125, ICA : 201.703125
[164] DCT : 203.546875, ICA : 203.546875
[165] DCT : 205.484375, ICA : 205.484375
[166] DCT : 203.671875, ICA : 203.671875
[167] DCT : 199.593750, ICA : 199.593750
[168] DCT : 199.953125, ICA : 199.953125
[169] DCT : 196.187500, ICA : 196.187500
[170] DCT : 197.187500, ICA : 197.187500
[171] DCT : 194.625000, ICA : 194.625000
[172] DCT : 193.000000, ICA : 193.000000
[173] DCT : 192.015625, ICA : 192.015625
[174] DCT : 190.171875, ICA : 190.171875
[175] DCT : 191.734375, ICA : 191.734375
[176] DCT : 192.078125, ICA : 192.078125
[177] DCT : 195.218750, ICA : 195.218750
[178] DCT : 194.484375, ICA : 194.484375
[179] DCT : 193.750000, ICA : 193.750000
[180] DCT : 193.890625, ICA : 193.890625
[181] DCT : 192.703125, ICA : 192.703125
[182] DCT : 196.718750, ICA : 196.718750
[183] DCT : 198.093750, ICA : 198.093750
[184] DCT : 202.812500, ICA : 202.812500
[185] DCT : 202.593750, ICA : 202.593750
[186] DCT : 203.125000, ICA : 203.125000
[187] DCT : 206.921875, ICA : 206.921875
[188] DCT : 210.140625, ICA : 210.140625
[189] DCT : 210.843750, ICA : 210.843750
[190] DCT : 212.453125, ICA : 212.453125
[191] DCT : 211.781250, ICA : 211.781250
[192] DCT : 199.750000, ICA : 199.750000
[193] DCT : 207.921875, ICA : 207.921875
[194] DCT : 206.421875, ICA : 206.421875
[195] DCT : 204.453125, ICA : 204.453125
[196] DCT : 203.671875, ICA : 203.671875
[197] DCT : 202.375000, ICA : 202.375000
[198] DCT : 198.890625, ICA : 198.890625
[199] DCT : 195.671875, ICA : 195.671875
[200] DCT : 192.859375, ICA : 192.859375
[201] DCT : 192.281250, ICA : 192.281250
[202] DCT : 196.406250, ICA : 196.406250
[203] DCT : 195.500000, ICA : 195.500000
[204] DCT : 193.718750, ICA : 193.718750
[205] DCT : 189.312500, ICA : 189.312500
[206] DCT : 192.484375, ICA : 192.484375
[207] DCT : 189.531250, ICA : 189.531250
[208] DCT : 188.375000, ICA : 188.375000
[209] DCT : 188.250000, ICA : 188.250000
[210] DCT : 190.125000, ICA : 190.125000
[211] DCT : 188.906250, ICA : 188.906250
[212] DCT : 191.906250, ICA : 191.906250
[213] DCT : 198.156250, ICA : 198.156250
[214] DCT : 198.250000, ICA : 198.250000
[215] DCT : 196.546875, ICA : 196.546875
[216] DCT : 200.625000, ICA : 200.625000
[217] DCT : 198.515625, ICA : 198.515625
[218] DCT : 201.921875, ICA : 201.921875
[219] DCT : 202.484375, ICA : 202.484375
[220] DCT : 203.046875, ICA : 203.046875
[221] DCT : 204.843750, ICA : 204.843750
[222] DCT : 206.375000, ICA : 206.375000
[223] DCT : 207.906250, ICA : 207.906250
[224] DCT : 196.843750, ICA : 196.843750
[225] DCT : 202.500000, ICA : 202.500000
[226] DCT : 203.015625, ICA : 203.015625
[227] DCT : 203.890625, ICA : 203.890625
[228] DCT : 201.890625, ICA : 201.890625
[229] DCT : 199.765625, ICA : 199.765625
[230] DCT : 197.953125, ICA : 197.953125
[231] DCT : 198.343750, ICA : 198.343750
[232] DCT : 199.312500, ICA : 199.312500
[233] DCT : 197.750000, ICA : 197.750000
[234] DCT : 195.046875, ICA : 195.046875
[235] DCT : 194.687500, ICA : 194.687500
[236] DCT : 193.500000, ICA : 193.500000
[237] DCT : 193.515625, ICA : 193.515625
[238] DCT : 194.359375, ICA : 194.359375
[239] DCT : 196.281250, ICA : 196.281250
