,,1539,,583,,2.639794168,,,,,
,,,,,,,,,,,
Q40,,,,,,,,,,,
Area_num,,ica_basis2,,,,,,,,,
0,,8,,23,10,61,37,30,,,
1,,2,,10,61,24,21,20,,,
2,,1,,10,38,61,37,49,,10,21
3,,1,,10,3,63,52,53,,10,21
4,,1,,10,14,4,7,24,,10,21
5,,1,,10,63,14,23,42,,10,21
6,,2,,10,52,24,56,37,,10,21
7,,1,,10,40,24,36,38,,10,21
8,,1,,10,7,40,21,11,,10,21
9,,2,,10,48,21,56,59,,10,21
10,,1,,10,53,47,44,45,,10,21
11,,1,,10,7,21,53,15,,10,21
12,,1,,10,21,28,40,23,,10,21
13,,1,,10,21,61,7,40,,10,21
14,,2,,10,40,42,61,7,,,
15,,3,,10,24,7,40,42,,,
16,,99,,99,99,99,99,99,,,
17,,99,,99,99,99,99,99,,,
18,,3,,10,61,5,4,44,,,
19,,2,,10,61,6,30,11,,,
20,,2,,61,10,56,34,6,,,
21,,99,,99,99,99,99,99,,,
22,,99,,99,99,99,99,99,,,
23,,99,,99,99,99,99,99,,,
24,,99,,99,99,99,99,99,,,
25,,99,,24,36,51,23,55,,,
26,,99,,99,99,99,99,99,,,
27,,99,,99,99,99,99,99,,,
28,,7,,24,61,5,62,10,,,
29,,10,,61,18,24,10,42,,,
30,,99,,99,99,99,99,99,,,
31,,99,,99,99,99,99,99,,,
32,,99,,11,55,58,30,13,,,
33,,2,,7,35,49,3,25,,,
34,,3,,24,23,13,21,25,,,
35,,99,,99,99,99,99,99,,,
36,,99,,99,99,99,99,99,,,
37,,5,,7,42,0,5,45,,,
38,,99,,59,29,61,34,28,,,
39,,0,,47,61,41,54,21,,0_area,
40,,0,,15,5,10,20,37,,0_area,
41,,0,,6,56,57,30,35,,0_area,
42,,0,,10,39,33,20,15,,0_area,
43,,0,,10,9,13,61,21,,0_area,
44,,0,,10,13,0,43,39,,0_area,
45,,0,,10,5,20,24,26,,0_area,
46,,99,,99,99,99,99,99,,,
47,,99,,99,99,99,99,99,,,
48,,99,,99,99,99,99,99,,,
49,,99,,99,99,99,99,99,,,
50,,99,,99,99,99,99,99,,,
51,,99,,61,24,13,51,30,,,
52,,99,,99,99,99,99,99,,,
53,,99,,99,99,99,99,99,,,
54,,0,,61,60,10,25,38,,0_area,
55,,1,,61,10,13,49,18,,21,
56,,99,,99,99,99,99,99,,,
57,,99,,99,99,99,99,99,,,
58,,99,,99,99,99,99,99,,,
59,,99,,99,99,99,99,99,,,
60,,99,,99,99,99,99,99,,,
61,,99,,99,99,99,99,99,,,
62,,1,,5,45,61,7,13,,,
63,,99,,99,99,99,99,99,,,
64,,99,,99,99,99,99,99,,,
65,,99,,99,99,99,99,99,,,
66,,99,,61,0,53,8,56,,,
67,,99,,99,99,99,99,99,,,
68,,99,,99,99,99,99,99,,,
69,,99,,99,99,99,99,99,,,
70,,1,,61,37,25,62,50,,,
71,,99,,99,99,99,99,99,,,
72,,99,,51,11,23,6,19,,,
73,,0,,61,47,36,55,32,,0_area,
74,,0,,17,61,5,57,10,,0_area,
75,,99,,61,59,21,45,48,,,
76,,99,,61,1,33,4,47,,,
77,,99,,7,21,14,18,37,,,
78,,1,,61,53,11,28,24,,,
79,,1,,61,54,39,20,50,,,
80,,0,,51,6,43,7,57,,0_area,
81,,0,,99,99,99,99,99,,0_area,
82,,0,,10,40,59,1,39,,0_area,
83,,0,,99,99,99,99,99,,0_area,
84,,1,,10,37,4,18,29,,10,
85,,99,,99,99,99,99,99,,,
86,,99,,61,10,53,21,29,,,
87,,1,,61,10,55,36,52,,,
88,,99,,99,99,99,99,99,,,
89,,99,,99,99,99,99,99,,,
90,,99,,39,21,10,5,38,,,
91,,0,,10,51,44,1,55,,0_area,
