
basis : 14, 39, 59
 [53]  dct:16.328125  a:16.328125  b:16.328125  c:16.328125   (0)    [14]:0.100381, [39]:0.146010, [59]:-0.105666
 [54]  dct:13.843750  a:11.281250  b:11.484375  c:13.843750   (1)    [14]:-0.570138, [39]:0.481072, [59]:0.065558
 [56]  dct:26.390625  a:26.390625  b:26.390625  c:24.703125   (3)    [14]:-0.160240, [39]:-0.204161, [59]:-0.508340
 [57]  dct:32.343750  a:32.343750  b:32.359375  c:57.796875   (0)    [14]:0.185444, [39]:0.264523, [59]:-1.411339
 [58]  dct:27.781250  a:27.781250  b:27.140625  c:99.953125   (2)    [14]:-0.185941, [39]:0.406387, [59]:-2.081427
 [59]  dct:28.234375  a:28.234375  b:24.140625  c:35.687500   (2)    [14]:0.166486, [39]:0.726281, [59]:-1.381631
 [60]  dct:30.531250  a:30.531250  b:21.859375  c:29.078125   (2)    [14]:0.061680, [39]:1.989643, [59]:-0.708019
 [61]  dct:24.546875  a:24.546875  b:24.500000  c:24.406250   (3)    [14]:0.133987, [39]:0.466333, [59]:0.209798
 [62]  dct:32.859375  a:32.859375  b:32.859375  c:32.468750   (3)    [14]:-0.185320, [39]:0.046760, [59]:-0.228914
 [63]  dct:18.984375  a:18.046875  b:18.984375  c:14.718750   (3)    [14]:-0.470513, [39]:-0.192887, [59]:-0.483758
 [64]  dct:85.843750  a:85.765625  b:78.687500  c:89.828125   (2)    [14]:0.505417, [39]:0.925874, [59]:-1.232799
 [65]  dct:21.593750  a:21.593750  b:21.593750  c:21.859375   (0)    [14]:-0.029510, [39]:0.194151, [59]:-0.630510
 [66]  dct:26.281250  a:26.281250  b:26.281250  c:24.281250   (3)    [14]:0.074677, [39]:0.107226, [59]:-0.280230
 [67]  dct:25.656250  a:25.656250  b:25.656250  c:26.000000   (0)    [14]:-0.026853, [39]:-0.024357, [59]:0.872531
 [68]  dct:25.656250  a:25.375000  b:26.875000  c:22.937500   (3)    [14]:-0.237231, [39]:-0.327213, [59]:1.257466
 [69]  dct:37.406250  a:37.156250  b:38.046875  c:34.843750   (3)    [14]:-0.387095, [39]:0.790855, [59]:0.836875
 [71]  dct:32.187500  a:32.359375  b:32.187500  c:39.234375   (0)    [14]:0.810469, [39]:0.141026, [59]:-0.474123
 [72]  dct:14.031250  a:13.968750  b:14.031250  c:14.031250   (1)    [14]:-0.227611, [39]:0.213038, [59]:-0.041806
 [79]  dct:9.046875  a:9.046875  b:9.046875  c:9.046875   (0)    [14]:0.124050, [39]:0.091425, [59]:-0.031248
 [80]  dct:7.062500  a:7.187500  b:7.062500  c:7.062500   (0)    [14]:-0.308867, [39]:0.098227, [59]:-0.106110
 [84]  dct:12.250000  a:12.250000  b:12.250000  c:12.250000   (0)    [14]:0.212943, [39]:0.080962, [59]:0.027765
 [85]  dct:10.312500  a:10.312500  b:10.265625  c:8.140625   (3)    [14]:0.064768, [39]:0.258090, [59]:-0.180961
 [88]  dct:7.796875  a:7.796875  b:7.796875  c:6.500000   (3)    [14]:-0.092985, [39]:0.053098, [59]:-0.355783
 [89]  dct:8.968750  a:8.968750  b:8.968750  c:8.125000   (3)    [14]:0.385595, [39]:0.156563, [59]:-0.243046
 [90]  dct:15.781250  a:15.781250  b:15.734375  c:12.359375   (3)    [14]:0.125677, [39]:0.273884, [59]:-0.271379
