 before :0.247039, after : 0.232604
 [106] : before 0.000244 , after 0.000244  diff = 0.000000

 [107] : before 0.000244 , after 0.000220  diff = 0.000024

 [108] : before 0.000244 , after 0.000229  diff = 0.000015

 [109] : before 0.000244 , after 0.000220  diff = 0.000024

 [110] : before 0.000229 , after 0.000214  diff = 0.000015

 [111] : before 0.000229 , after 0.000209  diff = 0.000020

 [112] : before 0.000244 , after 0.000244  diff = 0.000000

 [113] : before 0.000244 , after 0.000229  diff = 0.000015

 [114] : before 0.000229 , after 0.000209  diff = 0.000020

 [115] : before 0.000244 , after 0.000214  diff = 0.000031

 [116] : before 0.000244 , after 0.000220  diff = 0.000024

 [117] : before 0.000244 , after 0.000214  diff = 0.000031

 [118] : before 0.000244 , after 0.000214  diff = 0.000031

 [119] : before 0.000244 , after 0.000209  diff = 0.000035

 [120] : before 0.000229 , after 0.000209  diff = 0.000020

 [121] : before 0.000244 , after 0.000214  diff = 0.000031

 [122] : before 0.000244 , after 0.000229  diff = 0.000015

 [123] : before 0.000244 , after 0.000214  diff = 0.000031

 [124] : before 0.000244 , after 0.000220  diff = 0.000024

 [125] : before 0.000244 , after 0.000229  diff = 0.000015

 [126] : before 0.000244 , after 0.000214  diff = 0.000031

 [127] : before 0.000244 , after 0.000214  diff = 0.000031

 [128] : before 0.000244 , after 0.000220  diff = 0.000024

 [129] : before 0.000244 , after 0.000244  diff = 0.000000

 [130] : before 0.000229 , after 0.000220  diff = 0.000009

 [131] : before 0.000244 , after 0.000220  diff = 0.000024

 [132] : before 0.000244 , after 0.000229  diff = 0.000015

 [133] : before 0.000244 , after 0.000214  diff = 0.000031

 [134] : before 0.000244 , after 0.000214  diff = 0.000031

 [135] : before 0.000244 , after 0.000214  diff = 0.000031

 [136] : before 0.000244 , after 0.000220  diff = 0.000024

 [137] : before 0.000244 , after 0.000244  diff = 0.000000

 [138] : before 0.000244 , after 0.000220  diff = 0.000024

 [139] : before 0.000229 , after 0.000209  diff = 0.000020

 [140] : before 0.000244 , after 0.000214  diff = 0.000031

 [141] : before 0.000244 , after 0.000214  diff = 0.000031

 [142] : before 0.000244 , after 0.000229  diff = 0.000015

 [143] : before 0.000244 , after 0.000244  diff = 0.000000

 [144] : before 0.000244 , after 0.000244  diff = 0.000000

 [145] : before 0.000244 , after 0.000220  diff = 0.000024

 [146] : before 0.000244 , after 0.000214  diff = 0.000031

 [147] : before 0.000229 , after 0.000220  diff = 0.000009

 [148] : before 0.000244 , after 0.000220  diff = 0.000024

 [149] : before 0.000244 , after 0.000229  diff = 0.000015

 [150] : before 0.000229 , after 0.000205  diff = 0.000024

 [151] : before 0.000244 , after 0.000214  diff = 0.000031

 [152] : before 0.000244 , after 0.000229  diff = 0.000015

 [153] : before 0.000244 , after 0.000214  diff = 0.000031

 [154] : before 0.000244 , after 0.000220  diff = 0.000024

 [155] : before 0.000244 , after 0.000229  diff = 0.000015

 [156] : before 0.000244 , after 0.000214  diff = 0.000031

 [157] : before 0.000244 , after 0.000214  diff = 0.000031

 [158] : before 0.000244 , after 0.000214  diff = 0.000031

 [159] : before 0.000229 , after 0.000214  diff = 0.000015

 [160] : before 0.000244 , after 0.000244  diff = 0.000000

 [161] : before 0.000244 , after 0.000205  diff = 0.000039

 [162] : before 0.000244 , after 0.000214  diff = 0.000031

 [163] : before 0.000244 , after 0.000220  diff = 0.000024

 [164] : before 0.000244 , after 0.000220  diff = 0.000024

 [165] : before 0.000244 , after 0.000220  diff = 0.000024

 [166] : before 0.000229 , after 0.000209  diff = 0.000020

 [167] : before 0.000244 , after 0.000220  diff = 0.000024

 [168] : before 0.000229 , after 0.000220  diff = 0.000009

 [169] : before 0.000244 , after 0.000244  diff = 0.000000

 [170] : before 0.000244 , after 0.000229  diff = 0.000015

 [171] : before 0.000229 , after 0.000220  diff = 0.000009

 [172] : before 0.000244 , after 0.000244  diff = 0.000000

 [173] : before 0.000244 , after 0.000220  diff = 0.000024

 [174] : before 0.000244 , after 0.000220  diff = 0.000024

 [175] : before 0.000244 , after 0.000229  diff = 0.000015

 [176] : before 0.000229 , after 0.000220  diff = 0.000009

 [177] : before 0.000244 , after 0.000220  diff = 0.000024

 [178] : before 0.000229 , after 0.000220  diff = 0.000009

 [179] : before 0.000244 , after 0.000209  diff = 0.000035

 [180] : before 0.000244 , after 0.000244  diff = 0.000000

 [181] : before 0.000244 , after 0.000244  diff = 0.000000

 [182] : before 0.000244 , after 0.000244  diff = 0.000000

 [183] : before 0.000244 , after 0.000214  diff = 0.000031

 [184] : before 0.000244 , after 0.000214  diff = 0.000031

 [185] : before 0.000220 , after 0.000209  diff = 0.000011

 [186] : before 0.000244 , after 0.000209  diff = 0.000035

 [187] : before 0.000244 , after 0.000244  diff = 0.000000

 [188] : before 0.000229 , after 0.000205  diff = 0.000024

 [189] : before 0.000244 , after 0.000229  diff = 0.000015

 [190] : before 0.000244 , after 0.000229  diff = 0.000015

 [191] : before 0.000244 , after 0.000244  diff = 0.000000

 [192] : before 0.000244 , after 0.000220  diff = 0.000024

 [193] : before 0.000244 , after 0.000201  diff = 0.000043

 [194] : before 0.000229 , after 0.000229  diff = 0.000000

 [195] : before 0.000244 , after 0.000220  diff = 0.000024

 [196] : before 0.000229 , after 0.000209  diff = 0.000020

 [197] : before 0.000244 , after 0.000229  diff = 0.000015

 [198] : before 0.000244 , after 0.000214  diff = 0.000031

 [199] : before 0.000244 , after 0.000220  diff = 0.000024

 [200] : before 0.000244 , after 0.000220  diff = 0.000024

 [201] : before 0.000244 , after 0.000244  diff = 0.000000

 [202] : before 0.000244 , after 0.000209  diff = 0.000035

 [203] : before 0.000244 , after 0.000220  diff = 0.000024

 [204] : before 0.000244 , after 0.000209  diff = 0.000035

 [205] : before 0.000244 , after 0.000244  diff = 0.000000

 [206] : before 0.000229 , after 0.000220  diff = 0.000009

 [207] : before 0.000244 , after 0.000220  diff = 0.000024

 [208] : before 0.000244 , after 0.000220  diff = 0.000024

 [209] : before 0.000244 , after 0.000229  diff = 0.000015

 [210] : before 0.000229 , after 0.000220  diff = 0.000009

 [211] : before 0.000244 , after 0.000229  diff = 0.000015

 [212] : before 0.000244 , after 0.000244  diff = 0.000000

 [213] : before 0.000244 , after 0.000229  diff = 0.000015

 [214] : before 0.000244 , after 0.000229  diff = 0.000015

 [215] : before 0.000244 , after 0.000244  diff = 0.000000

 [216] : before 0.000244 , after 0.000214  diff = 0.000031

 [217] : before 0.000229 , after 0.000209  diff = 0.000020

 [218] : before 0.000244 , after 0.000205  diff = 0.000039

 [219] : before 0.000244 , after 0.000205  diff = 0.000039

 [220] : before 0.000244 , after 0.000209  diff = 0.000035

 [221] : before 0.000244 , after 0.000220  diff = 0.000024

 [222] : before 0.000229 , after 0.000214  diff = 0.000015

 [223] : before 0.000244 , after 0.000201  diff = 0.000043

 [224] : before 0.000229 , after 0.000220  diff = 0.000009

 [225] : before 0.000244 , after 0.000205  diff = 0.000039

 [226] : before 0.000229 , after 0.000209  diff = 0.000020

 [227] : before 0.000244 , after 0.000214  diff = 0.000031

 [228] : before 0.000244 , after 0.000205  diff = 0.000039

 [229] : before 0.000244 , after 0.000229  diff = 0.000015

 [230] : before 0.000244 , after 0.000229  diff = 0.000015

 [231] : before 0.000244 , after 0.000244  diff = 0.000000

 [232] : before 0.000244 , after 0.000244  diff = 0.000000

 [233] : before 0.000244 , after 0.000229  diff = 0.000015

 [234] : before 0.000244 , after 0.000244  diff = 0.000000

 [235] : before 0.000229 , after 0.000214  diff = 0.000015

 [236] : before 0.000244 , after 0.000244  diff = 0.000000

 [237] : before 0.000244 , after 0.000214  diff = 0.000031

 [238] : before 0.000244 , after 0.000229  diff = 0.000015

 [239] : before 0.000244 , after 0.000214  diff = 0.000031

 [240] : before 0.000244 , after 0.000209  diff = 0.000035

 [241] : before 0.000244 , after 0.000220  diff = 0.000024

 [242] : before 0.000244 , after 0.000220  diff = 0.000024

 [243] : before 0.000244 , after 0.000229  diff = 0.000015

 [244] : before 0.000244 , after 0.000229  diff = 0.000015

 [245] : before 0.000244 , after 0.000220  diff = 0.000024

 [246] : before 0.000229 , after 0.000209  diff = 0.000020

 [247] : before 0.000244 , after 0.000214  diff = 0.000031

 [248] : before 0.000244 , after 0.000214  diff = 0.000031

 [249] : before 0.000244 , after 0.000229  diff = 0.000015

 [250] : before 0.000220 , after 0.000214  diff = 0.000006

 [251] : before 0.000244 , after 0.000209  diff = 0.000035

 [252] : before 0.000229 , after 0.000205  diff = 0.000024

 [253] : before 0.000229 , after 0.000220  diff = 0.000009

 [254] : before 0.000244 , after 0.000229  diff = 0.000015

 [255] : before 0.000244 , after 0.000229  diff = 0.000015

 [256] : before 0.000244 , after 0.000214  diff = 0.000031

 [257] : before 0.000244 , after 0.000220  diff = 0.000024

 [258] : before 0.000244 , after 0.000244  diff = 0.000000

 [259] : before 0.000244 , after 0.000244  diff = 0.000000

 [260] : before 0.000244 , after 0.000244  diff = 0.000000

 [261] : before 0.000229 , after 0.000229  diff = 0.000000

 [262] : before 0.000244 , after 0.000229  diff = 0.000015

 [263] : before 0.000244 , after 0.000209  diff = 0.000035

 [264] : before 0.000244 , after 0.000244  diff = 0.000000

 [265] : before 0.000244 , after 0.000214  diff = 0.000031

 [266] : before 0.000244 , after 0.000214  diff = 0.000031

 [267] : before 0.000244 , after 0.000244  diff = 0.000000

 [268] : before 0.000244 , after 0.000209  diff = 0.000035

 [269] : before 0.000229 , after 0.000209  diff = 0.000020

 [270] : before 0.000244 , after 0.000214  diff = 0.000031

