
ICA_Basis,0.025295
Q,DCT_ent,PSNR,SSIM,MS-SSIM,Area,,ICA_ent,PSNR,SSIM,MS-SSIM,Area,,Basis
80,2.330298,33.615789,0.951507,,1012,,2.290420,33.617456,0.951502,,12,,23,39,45
70,1.998932,31.698204,0.930155,,1004,,1.968827,31.701940,0.930149,,20,,24,37,45
60,1.777586,30.315314,0.909780,,999,,1.753261,30.319637,0.909835,,25,,1,11,24
50,1.570299,29.289903,0.890474,,989,,1.541657,29.299508,0.890671,,35,,7,32,41
40,1.355317,28.243827,0.865904,,981,,1.326922,28.261646,0.866008,,43,,2,28,41
30,1.112034,26.912395,0.828565,,953,,1.089675,26.959914,0.829774,,71,,2,28,41
