
ICA_Basis,0.022365
Q,DCT_ent,PSNR,SSIM,MS-SSIM,Area,,ICA_ent,PSNR,SSIM,MS-SSIM,Area,,Basis
90,4.004726,33.135671,0.948123,,1024,,3.943195,33.135671,0.948123,,0,,99,99,99
80,2.931662,29.400550,0.891387,,1023,,2.878813,29.400680,0.891390,,1,,23,31,32
70,2.426828,27.724406,0.845762,,1022,,2.382731,27.726265,0.845767,,2,,5,28,45
60,2.077617,26.672822,0.805321,,1017,,2.041070,26.680641,0.805416,,7,,5,28,45
50,1.806696,26.022949,0.773314,,1009,,1.765499,26.033807,0.773553,,15,,5,7,45
40,1.528631,25.405561,0.739565,,998,,1.490591,25.418234,0.739665,,26,,7,28,53
30,1.221975,24.619931,0.686322,,977,,1.187542,24.637777,0.686611,,47,,5,28,44
20,0.847014,23.620969,0.609774,,902,,0.831208,23.667034,0.609743,,122,,5,28,44
